Unitats;Localitat;Grup;Municipi;Superfície;Inici d'activitat;Denominació comercial;Places;Signatura
9;Llucmajor;Agroturisme;LLUCMAJOR;;14/12/1998;ELS MARSALS;18;AG/74
24;Son Servera;Agroturisme;SON SERVERA;33290;03/02/1999;PULA GOLF RESORT;48;AG/75
6;Calvià;Agroturisme;CALVIÀ;;25/02/1999;SON BORONAT;12;AG/76
6;Valldemossa;Agroturisme;VALLDEMOSSA;;19/04/1999;SON BRONDO;15;AG/78
6;Alqueries;Agroturisme;SANTA EUGÈNIA;;23/04/1993;SA TORRE;12;AG/8
17;Campos;Agroturisme;CAMPOS;269350;28/04/1999;SON BERNADINET;34;AG/80
13;Sóller;Agroturisme;SÓLLER;;14/05/1999;CA´S SANT;26;AG/81
11;Lloret De Vistalegre;Agroturisme;LLORET DE VISTALEGRE;;27/05/1999;SON BAULO;22;AG/82
15;Llucmajor;Agroturisme;LLUCMAJOR;;17/06/1999;PUIG DE ROS D´ALT;30;AG/83
8;Santa Maria Del Camí;Agroturisme;SANTA MARIA DEL CAMÍ;;23/09/1999;ES MOLI DE SON MAIOL;16;AG/84
8;Manacor;Agroturisme;MANACOR;;26/01/2000;ES MAYOLET;21;AG/85
9;Manacor;Agroturisme;MANACOR;;26/01/2000;SA VAQUERIA;24;AG/86
11;Llucmajor;Agroturisme;LLUCMAJOR;;20/03/2000;LLOVETS DE SON PERDIU;22;AG/87
8;Bunyola;Agroturisme;BUNYOLA;;23/03/2000;HONOR;16;AG/88
7;Andratx;Agroturisme;ANDRATX;;14/04/2000;AGROTURISME SON ESTEVE;14;AG/89
3;Orient;Agroturisme;BUNYOLA;;28/04/1993;ES PUJOL;6;AG/9
6;Bunyola;Agroturisme;BUNYOLA;;28/06/2000;SON BONAVISTA;12;AG/90
3;Llucmajor;Agroturisme;LLUCMAJOR;;31/05/2000;SON CORTERA VELL;13;AG/91
14;Puigpunyent;Agroturisme;PUIGPUNYENT;;05/07/2000;SON PONT;28;AG/92
7;Manacor;Agroturisme;MANACOR;21000;13/11/2000;SON CIFRE NOU;18;AG/93
12;Pollença;Agroturisme;POLLENÇA;;05/12/2000;CAN GUILLO;24;AG/94
7;Son Macià;Agroturisme;MANACOR;;05/12/2000;ES PICOT;14;AG/95
5;Capdepera;Agroturisme;CAPDEPERA;73004;05/12/2000;S´HORTA;14;AG/96
9;Manacor;Agroturisme;MANACOR;;12/01/2001;ES RAFAL ROIG;24;AG/97
12;Salines (Les);Agroturisme;SES SALINES;;22/03/2001;SA CARROTJA;24;AG/98
10;Santa Margalida;Agroturisme;SANTA MARGALIDA;;30/04/2001;SON FLO;32;AG/99
109;Costa De La Calma;Apartaments turístics;CALVIÀ;0;07/07/1978;Apartamentos Globales Costa de la Calma;450;AT/1016
54;Magaluf;Apartaments turístics;CALVIÀ;;26/04/1979;MAGALLUF PLAYA III;189;AT/1046
78;Magaluf;Apartaments turístics;CALVIÀ;0;27/04/1979;SANDALO BEACH;193;AT/1047
150;Cala D´Or;Apartaments turístics;SANTANYÍ;;29/06/1979;PARQUE MAR;544;AT/1048
30;Platja De Muro;Apartaments turístics;MURO;;16/05/1980;AluaSun Continental Park Apartamentos;84;AT/1114
4;Cala Figuera;Apartaments turístics;SANTANYÍ;;10/10/1980;SALAS I;24;AT/1115
64;Palmanova;Apartaments turístics;CALVIÀ;;14/10/1980;LAS PALOMAS APARTAMENTOS ECONOTELS;135;AT/1117
8;Port De Pollença;Apartaments turístics;POLLENÇA;;16/09/1981;Cabot Sivella;24;AT/1138
8;Cala Rajada;Apartaments turístics;CAPDEPERA;;21/09/1981;PONENT;40;AT/1144
48;Cala Santanyí;Apartaments turístics;SANTANYÍ;;16/11/1981;CALA SANTANYI;136;AT/1146
9;Port De Pollença;Apartaments turístics;POLLENÇA;;21/04/1982;DON MIGUEL;27;AT/1157
9;Port De Pollença;Apartaments turístics;POLLENÇA;;22/04/1982;Panorama;27;AT/1158
9;Magaluf;Apartaments turístics;CALVIÀ;;15/06/1982;Nura Houses Magaluf;64;AT/1162
11;Platja De Palma;Apartaments turístics;PALMA;;16/06/1982;MAR DEL PLATA;33;AT/1165
9;Port De Pollença;Apartaments turístics;POLLENÇA;;08/07/1982;LEO;45;AT/1166
57;Can Pastilla;Apartaments turístics;PALMA;0;10/09/1982;ISLA DEL SOL;122;AT/1171
30;Palmanova;Apartaments turístics;CALVIÀ;;28/08/1982;ROC PORTONOVA;147;AT/1180
9;Palmanova;Apartaments turístics;CALVIÀ;;11/01/1983;LAS PALMERAS;45;AT/1203
9;Colònia De Sant Jordi;Apartaments turístics;SES SALINES;;03/02/1983;ESTANQUES;44;AT/1207
8;Cala Millor;Apartaments turístics;SON SERVERA;;15/02/1983;SA MARINA;36;AT/1209
40;Platja De Palma;Apartaments turístics;PALMA;;26/09/1983;TRES TORRES;120;AT/1225
21;Colònia De Sant Jordi;Apartaments turístics;SES SALINES;;29/09/1983;VILLA MARQUESA;42;AT/1230
5;Cala Ferrera;Apartaments turístics;FELANITX;;03/10/1983;BON AIRE I;18;AT/1234
9;Cala Millor;Apartaments turístics;SON SERVERA;;20/10/1983;SABINA I;29;AT/1239
9;Cala Millor;Apartaments turístics;SON SERVERA;;20/10/1983;SABINA II;36;AT/1240
20;Cala Rajada;Apartaments turístics;CAPDEPERA;;20/10/1983;PERLA NEGRA;70;AT/1243
9;Cala Ferrera;Apartaments turístics;FELANITX;;20/10/1983;Bon Aire II;39;AT/1245
30;Palmanova;Apartaments turístics;CALVIÀ;;11/01/1984;CALA BLANCA;84;AT/1258
5;Cala Ferrera;Apartaments turístics;FELANITX;;02/02/1984;EL PINO I;22;AT/1260
7;Cala Ferrera;Apartaments turístics;FELANITX;;02/02/1984;EL PINO II;26;AT/1261
20;Canyamel;Apartaments turístics;CAPDEPERA;;03/11/1983;SUREDA II;60;AT/1263
36;Can Pastilla;Apartaments turístics;PALMA;;25/04/1984;HELIOS;108;AT/1266
18;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;15/06/1984;BOCACCIO;112;AT/1273
1474;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;16/07/1984;COMPLEJO BELLEVUE CLUB;4191;AT/1278
15;Peguera;Apartaments turístics;CALVIÀ;;23/07/1984;BON AIRE;30;AT/1281
6;Cala Millor;Apartaments turístics;SON SERVERA;;24/07/1984;VIVES;36;AT/1286
8;Cala Bona;Apartaments turístics;SON SERVERA;;23/07/1984;SEMA I;40;AT/1287
50;Platja De Muro;Apartaments turístics;MURO;;28/08/1984;LOS PRINCIPES I;150;AT/1294
9;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;31/08/1984;CHARLY´S BLOQUE A;36;AT/1299
8;Cala Ferrera;Apartaments turístics;FELANITX;;21/09/1984;Gran Sol Family;48;AT/1308
94;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;25/09/1984;LAS PIRAMIDES;282;AT/1309
4;Cala Figuera;Apartaments turístics;SANTANYÍ;;16/10/1984;CASA MARIA;12;AT/1319
68;Cala D´Or;Apartaments turístics;SANTANYÍ;;17/11/1984;CALA GRAN I;176;AT/1330
5;Cala Santanyí;Apartaments turístics;SANTANYÍ;;03/12/1984;DRAC;24;AT/1331
40;Peguera;Apartaments turístics;CALVIÀ;;04/12/1984;ALDEA CALA FORNELLS II;120;AT/1335
9;Port De Pollença;Apartaments turístics;POLLENÇA;;05/12/1984;BRESSOL;45;AT/1341
5;Port De Pollença;Apartaments turístics;POLLENÇA;;07/12/1984;MIRAMAR;20;AT/1342
8;Cala Murada;Apartaments turístics;MANACOR;;13/12/1984;LOS PINOS;36;AT/1343
12;Cala Rajada;Apartaments turístics;CAPDEPERA;;17/01/1985;GIRASOL LLITERAS;36;AT/1346
9;Port De Pollença;Apartaments turístics;POLLENÇA;;05/03/1985;APARTAMENTOS FALCÓ;54;AT/1356
166;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;05/10/1985;SIESTA I;436;AT/1357
26;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;20/03/1985;VICTORIA;84;AT/1360
74;Santa Ponça;Apartaments turístics;CALVIÀ;;22/03/1985;APARTAMENTOS MAC SURFING PLAYA;222;AT/1362
93;Palmanova;Apartaments turístics;CALVIÀ;;24/04/1985;APARTAMENTOS PALMANOVA BEACH BY TRH;210;AT/1364
3;Illot (L´);Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;24/04/1985;DORADO II;15;AT/1365
33;Magaluf;Apartaments turístics;CALVIÀ;;13/06/1985;COCONUT;66;AT/1389
11;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;18/06/1985;CHARLY´S BLOQUE B;28;AT/1390
10;Capdepera;Apartaments turístics;CAPDEPERA;;08/04/1986;ROSAMAR;42;AT/1412
40;Cala Millor;Apartaments turístics;SON SERVERA;0;11/10/1985;Apartamentos Cristina I;160;AT/1427
34;Cala Millor;Apartaments turístics;SON SERVERA;;11/10/1985;Apartamentos Cristina II;168;AT/1428
130;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;31/10/1985;ALCUDIA BEACH;364;AT/1439
24;Cala Rajada;Apartaments turístics;CAPDEPERA;;21/03/1986;DON QUIJOTE;124;AT/1460
20;Cala Millor;Apartaments turístics;SON SERVERA;;27/03/1986;Apartamentos R2 Cala Millor;111;AT/1462
16;Colònia De Sant Jordi;Apartaments turístics;SES SALINES;;08/05/1986;IBIZA;82;AT/1474
8;Cala Figuera;Apartaments turístics;SANTANYÍ;;23/05/1989;VISTA AL MAR;32;AT/1482
20;Palmanova;Apartaments turístics;CALVIÀ;;04/07/1986;APARTAMENTOS MARINA PALMANOVA;96;AT/1490
29;Palmanova;Apartaments turístics;CALVIÀ;;29/08/1986;SON CALIU PLAYA II;87;AT/1504
135;Cala Bona;Apartaments turístics;SON SERVERA;;23/09/1986;PROTUR FLORIANA;420;AT/1510
20;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;11/12/1986;OLIVE BEACH;50;AT/1521
44;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;05/01/1987;FERRER TAMARINDOS;88;AT/1522
54;Peguera;Apartaments turístics;CALVIÀ;0;25/02/1987;PONENT;142;AT/1528
8;Cala Bona;Apartaments turístics;SON SERVERA;;04/03/1987;SEMA II;32;AT/1529
8;Cala Millor;Apartaments turístics;SON SERVERA;;04/03/1987;VILLA MARGARITA;24;AT/1530
9;Canyamel;Apartaments turístics;CAPDEPERA;;17/03/1987;MASSANET;43;AT/1535
60;Cala Millor;Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;05/05/1987;PROTUR ATALAYA;180;AT/1542
45;Santa Ponça;Apartaments turístics;CALVIÀ;;21/04/1987;CASA VIDA;109;AT/1544
27;Port De Pollença;Apartaments turístics;POLLENÇA;;29/04/1987;BELLAMAR;81;AT/1546
120;Magaluf;Apartaments turístics;CALVIÀ;;05/05/1987;TENT MOJITO;295;AT/1549
73;Cala D´Or;Apartaments turístics;SANTANYÍ;;05/05/1987;CALA DOR PARK;218;AT/1550
36;Platja De Muro;Apartaments turístics;MURO;;05/05/1987;LOS PRINCIPES II;72;AT/1551
7;Colònia De Sant Jordi;Apartaments turístics;SES SALINES;;19/05/1987;OBRADOR;37;AT/1553
16;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;20/05/1987;VENECIA;48;AT/1554
27;Sant Elm;Apartaments turístics;ANDRATX;;21/05/1987;AQUAVILLA;54;AT/1555
36;Port De Pollença;Apartaments turístics;POLLENÇA;0;10/06/1987;LAS VELAS I;78;AT/1559
54;Port De Pollença;Apartaments turístics;POLLENÇA;;04/09/1987;HOBBY CLUB;108;AT/1581
21;Alcúdia;Apartaments turístics;ALCÚDIA;;23/09/1987;CARLOS V;62;AT/1584
11;Palmanova;Apartaments turístics;CALVIÀ;;02/02/1988;NAIKA;25;AT/1597
20;Peguera;Apartaments turístics;CALVIÀ;;02/03/1988;LOS TILOS;60;AT/1598
10;Cala Millor;Apartaments turístics;SON SERVERA;;20/04/1988;LOS ALAMOS;40;AT/1602
20;Port De Pollença;Apartaments turístics;POLLENÇA;;28/04/1988;DAINA;59;AT/1616
16;Palmanova;Apartaments turístics;CALVIÀ;;05/05/1988;BALEAR BEACH;44;AT/1619
8;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;24/05/1988;EDIFICIO PLAYA;20;AT/1625
20;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;07/07/1988;SES DALIES;40;AT/1631
12;Magaluf;Apartaments turístics;CALVIÀ;;08/07/1988;NEIGHBORS APARTAMENTS;36;AT/1633
30;Cala Rajada;Apartaments turístics;CAPDEPERA;;19/07/1988;FLACALCO II;75;AT/1635
10;Son Moro Bonavista;Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;04/08/1988;RIGO;55;AT/1638
17;Palmanova;Apartaments turístics;CALVIÀ;;05/08/1988;PINOS MAR III;85;AT/1640
135;Palmanova;Apartaments turístics;CALVIÀ;;05/08/1988;NOVA;395;AT/1641
6;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;16/09/1988;RANDEMAR;30;AT/1647
22;Platja De Palma;Apartaments turístics;PALMA;;19/10/1988;JORBAR;66;AT/1650
52;Coma (La);Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;24/10/1988;CLUB SA COMA;126;AT/1656
4;Cala Ferrera;Apartaments turístics;FELANITX;;25/10/1988;ROTONDA;21;AT/1658
24;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;22/11/1988;Sand Beach;60;AT/1664
102;Santa Ponça;Apartaments turístics;CALVIÀ;;20/12/1988;VISTA CLUB;284;AT/1668
15;Palmanova;Apartaments turístics;CALVIÀ;;18/01/1989;KENSINGTON;45;AT/1670
7;Colònia De Sant Jordi;Apartaments turístics;SES SALINES;;27/01/1989;Apartaments Lavendel;11;AT/1673
8;Cala Millor;Apartaments turístics;SON SERVERA;;08/03/1989;FORTUNA;28;AT/1683
60;Peguera;Apartaments turístics;CALVIÀ;;13/03/1989;FLOR LOS ALMENDROS;150;AT/1686
31;Illot (L´);Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;17/04/1989;PLAYAMAR;93;AT/1692
27;Cala Rajada;Apartaments turístics;CAPDEPERA;;19/04/1989;LLITERAS;61;AT/1695
21;Port De Pollença;Apartaments turístics;POLLENÇA;;19/04/1989;TORRE PLAYA;62;AT/1696
40;Can Pastilla;Apartaments turístics;PALMA;;02/05/1989;EMBAT;105;AT/1703
44;Cala Millor;Apartaments turístics;SON SERVERA;;10/05/1989;BAHIA AZUL;92;AT/1704
24;Port De Pollença;Apartaments turístics;POLLENÇA;;16/05/1989;MASSOL;42;AT/1706
40;;Apartaments turístics;LLUCMAJOR;;23/05/1989;SUN CLUB EL DORADO;120;AT/1710
50;Magaluf;Apartaments turístics;CALVIÀ;;26/06/1989;INN;102;AT/1722
12;Urbanització Betlem;Apartaments turístics;ARTÀ;;17/07/1989;LAS COLMENAS;38;AT/1733
16;Cala Millor;Apartaments turístics;SON SERVERA;;18/07/1989;MALLORCA ROOMS CALA MILLOR;32;AT/1734
72;Platja De Muro;Apartaments turístics;MURO;;18/07/1989;LAGOTEL CLUB;216;AT/1736
18;Cala Figuera;Apartaments turístics;SANTANYÍ;;11/09/1989;CALA FIGUERA;72;AT/1738
72;Palmanova;Apartaments turístics;CALVIÀ;;11/09/1989;SOTAVENTO;144;AT/1740
20;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;14/09/1989;BAULO MAR;59;AT/1742
31;Peguera;Apartaments turístics;CALVIÀ;;11/09/1989;S´OLIVERA;62;AT/1743
51;Platja De Muro;Apartaments turístics;MURO;;11/09/1989;IBEROSTAR PLAYA DE MURO II;141;AT/1744
94;Santa Ponça;Apartaments turístics;CALVIÀ;;11/09/1989;PLAZAMAR;194;AT/1746
16;Cala Sant Vicenç;Apartaments turístics;POLLENÇA;;11/10/1989;PINOS ALTOS;53;AT/1748
24;Port De Pollença;Apartaments turístics;POLLENÇA;;11/10/1989;ILLA D´OR CLUB;69;AT/1749
11;Cala D´Or;Apartaments turístics;SANTANYÍ;;11/10/1989;DON FELIPE;26;AT/1750
31;Peguera;Apartaments turístics;CALVIÀ;;11/10/1989;APARTAMENTOS VALENTÍN PAGUERA;93;AT/1760
22;Port De Pollença;Apartaments turístics;POLLENÇA;;30/10/1989;LLEVANT;44;AT/1762
143;Palmanova;Apartaments turístics;CALVIÀ;;30/11/1989;SOL LUNAMAR;291;AT/1765
16;Canyamel;Apartaments turístics;CAPDEPERA;;14/11/1989;SINFONY;32;AT/1769
14;Peguera;Apartaments turístics;CALVIÀ;;30/11/1989;NILO AZUL;37;AT/1771
9;Canyamel;Apartaments turístics;CAPDEPERA;;03/01/1989;LA CABAÑA;31;AT/1773
12;Cala Sant Vicenç;Apartaments turístics;POLLENÇA;;21/11/1989;CAN BOTANA;46;AT/1776
66;L´Illot-Cala Morlanda;Apartaments turístics;MANACOR;;30/11/1989;ARCOS PLAYA;201;AT/1783
9;Palmanova;Apartaments turístics;CALVIÀ;;28/11/1989;NIGHTLIFE APARTAMENTS;33;AT/1784
22;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;12/12/1989;JANEIRO;44;AT/1787
41;Cala D´Or;Apartaments turístics;SANTANYÍ;;30/11/1989;PINS D´OR;103;AT/1788
169;L´Illot-Cala Morlanda;Apartaments turístics;MANACOR;;15/12/1989;Playa Moreia;385;AT/1789
16;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;20/12/1989;BELLAMAR;39;AT/1795
33;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;21/12/1989;Apartamentos Ferrer Playa de Alcudia;66;AT/1796
17;Peguera;Apartaments turístics;CALVIÀ;;21/12/1989;ATALAYA BOSQUE;48;AT/1797
31;Port De Pollença;Apartaments turístics;POLLENÇA;;22/12/1989;MARICEL;75;AT/1798
20;Port De Pollença;Apartaments turístics;POLLENÇA;;01/02/1990;POLLENSA MAR;52;AT/1810
49;Cala Anguila-Cala Mendia;Apartaments turístics;MANACOR;0;01/02/1990;Apartamentos Vista Alegre;163;AT/1811
32;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;25/01/1990;SOLECITO;105;AT/1813
100;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;25/01/1990;MARINER CLUB;248;AT/1814
8;Cala Figuera;Apartaments turístics;SANTANYÍ;;01/02/1990;SALAS II;24;AT/1816
20;Cala Millor;Apartaments turístics;SON SERVERA;;01/02/1990;Apartamentos R2 Cala Millor II;94;AT/1820
7;Peguera;Apartaments turístics;CALVIÀ;;01/02/1990;Mallorca Rooms Paguera;20;AT/1821
14;Cala Figuera;Apartaments turístics;SANTANYÍ;2335;01/02/1990;VILLA PRIMERA;36;AT/1824
33;Cala D´Or;Apartaments turístics;SANTANYÍ;;05/02/1990;Alua Suites Las Rocas IV;99;AT/1826
20;Cala Rajada;Apartaments turístics;CAPDEPERA;;06/02/1990;QUIJOTE PARK;40;AT/1828
35;Cala Millor;Apartaments turístics;SON SERVERA;;07/02/1990;SOL PARK;70;AT/1829
22;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;09/02/1990;SES ROQUETES;44;AT/1830
18;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;09/02/1990;Bonavida Pines;36;AT/1831
24;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;09/02/1990;MIRADA;48;AT/1832
10;Port De Pollença;Apartaments turístics;POLLENÇA;;12/02/1990;Villa Alexia Apartments;26;AT/1833
125;Santa Ponça;Apartaments turístics;CALVIÀ;;13/02/1990;JUTLANDIA;250;AT/1835
117;Portocolom;Apartaments turístics;FELANITX;0;13/02/1990;PIERRE & VACANCES MALLORCA CECILIA;275;AT/1836
17;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;13/02/1990;EXAGON;34;AT/1838
20;Palmanova;Apartaments turístics;CALVIÀ;;16/02/1990;Alper Mallorca;39;AT/1842
20;Peguera;Apartaments turístics;CALVIÀ;;20/02/1990;LOS TILOS;52;AT/1850
151;Cala D´Or;Apartaments turístics;SANTANYÍ;;22/03/1990;CALA DOR SOL;393;AT/1860
20;Magaluf;Apartaments turístics;CALVIÀ;;22/03/1990;MAGALUF STRIP;44;AT/1861
6;Cala Ferrera;Apartaments turístics;FELANITX;;22/03/1990;BON AIRE;26;AT/1873
53;Cala Millor;Apartaments turístics;SON SERVERA;;22/03/1990;ELEGANCE APARTAMENTOS SOL Y MAR;130;AT/1875
22;Canyamel;Apartaments turístics;CAPDEPERA;;22/03/1990;SA TORRE;51;AT/1877
44;Cala D´Or;Apartaments turístics;SANTANYÍ;0;22/03/1990;BLUE SEA SES CASES D´OR;89;AT/1879
119;Port De Pollença;Apartaments turístics;POLLENÇA;;22/03/1990;VILLA CONCHA;238;AT/1882
74;Port De Pollença;Apartaments turístics;POLLENÇA;;03/04/1990;HABITAT;198;AT/1890
71;Cala D´Or;Apartaments turístics;SANTANYÍ;;03/04/1990;Ola Cala d´Or;142;AT/1891
6;Cala Ferrera;Apartaments turístics;FELANITX;;18/04/1990;PLAYA MARINA;20;AT/1897
10;Coma (La);Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;18/04/1990;IRIS;42;AT/1899
10;Portocolom;Apartaments turístics;FELANITX;0;18/04/1990;CAN MARÇALET;19;AT/1903
83;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;07/05/1990;PALM GARDEN;166;AT/1913
9;Palmeres (Les);Apartaments turístics;POLLENÇA;;07/05/1990;EL MOLINO;59;AT/1915
7;Cala Anguila-Cala Mendia;Apartaments turístics;MANACOR;;07/05/1990;SES GAVINES I;14;AT/1916
7;Cala Anguila-Cala Mendia;Apartaments turístics;MANACOR;;07/05/1990;SES GAVINES II;14;AT/1917
9;Salines (Les);Apartaments turístics;SES SALINES;;07/05/1990;ES TRENC;19;AT/1919
25;Cala Vinyes;Apartaments turístics;CALVIÀ;;07/05/1990;GLOBALES CALA VIÑAS;50;AT/1921
24;Santa Ponça;Apartaments turístics;CALVIÀ;;10/05/1990;CASABLANCA APARTMENTS;55;AT/1923
20;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;22/05/1990;VISTA PARK;62;AT/1929
4;Portocolom;Apartaments turístics;FELANITX;;22/05/1990;PORTO SUN;12;AT/1938
40;Illot (L´);Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;04/06/1990;PLAYAMAR II;85;AT/1950
106;Santa Ponça;Apartaments turístics;CALVIÀ;;09/07/1990;SUN BEACH;212;AT/1964
20;Cala Rajada;Apartaments turístics;CAPDEPERA;;20/07/1990;S´AMFORA;56;AT/1973
12;Canyamel;Apartaments turístics;CAPDEPERA;;24/08/1990;SOL RADIANTE;24;AT/1975
9;Colònia De Sant Jordi;Apartaments turístics;SES SALINES;;24/08/1990;LEMAR;31;AT/1977
24;Canyamel;Apartaments turístics;CAPDEPERA;;24/08/1990;LAGUNA GARDEN;48;AT/1983
165;Platja De Muro;Apartaments turístics;MURO;;26/11/1990;BQ ALCUDIA SUN VILLAGE;358;AT/1988
23;Portocolom;Apartaments turístics;FELANITX;;26/11/1990;DELTA;46;AT/1992
6;Cala D´Or;Apartaments turístics;SANTANYÍ;;28/11/1990;OSA MENOR;33;AT/1993
18;Estany D´En Mas (L´);Apartaments turístics;MANACOR;;26/11/1990;SOL ROMANTICA;36;AT/1995
40;Coma (La);Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;26/11/1990;EUROPA;84;AT/2000
144;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;09/05/1991;SOL DE ALCUDIA;318;AT/2010
30;Cala D´Or;Apartaments turístics;SANTANYÍ;;09/05/1991;ARIEL;60;AT/2013
14;Port De Pollença;Apartaments turístics;POLLENÇA;;07/06/1991;MARINA;30;AT/2017
54;Palma;Apartaments turístics;PALMA;;28/06/1991;Gomila Palma Apartments;100;AT/2020
60;Cala Bona;Apartaments turístics;SON SERVERA;;21/08/1991;FLORIANA II;120;AT/2024
5;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;04/11/1991;CONFLUENTIA PLAYA;10;AT/2027
20;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;15/11/1991;MIRADA DE ALCUDIA II;40;AT/2029
10;Portocolom;Apartaments turístics;FELANITX;;01/06/1992;MAR Y VENT;20;AT/2039
19;Cala Millor;Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;03/02/1993;S´ATALAYA;44;AT/2045
35;Cala Millor;Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;28/04/1993;SANTA MARIA;84;AT/2052
15;Port De Pollença;Apartaments turístics;POLLENÇA;0;28/04/1993;LAS VELAS II;30;AT/2053
20;Cala D´Or;Apartaments turístics;SANTANYÍ;;27/05/1993;CALA GRAN II;41;AT/2055
66;Platja De Muro;Apartaments turístics;MURO;;14/10/1993;LAGO PARK 2;132;AT/2056
19;Cala Millor;Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;21/10/1993;MORITO BEACH;38;AT/2060
23;Platja De Palma;Apartaments turístics;PALMA;;17/12/1993;LEMAN;46;AT/2064
23;Portocristo;Apartaments turístics;MANACOR;;17/03/1994;DRACH;46;AT/2069
9;Cala Figuera;Apartaments turístics;SANTANYÍ;;19/04/1994;VILLA SIRENA;21;AT/2070
46;Can Picafort;Apartaments turístics;SANTA MARGALIDA;;19/04/1994;GRAN BAHIA;98;AT/2071
36;Cala D´Or;Apartaments turístics;SANTANYÍ;0;03/05/1994;BLUE SEA ES BOLERO;84;AT/2072
27;Coma (La);Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;28/06/1994;BLUE SEA GRAN PLAYA;54;AT/2075
31;Cala Ferrera;Apartaments turístics;FELANITX;;11/07/1994;AZUL PLAYA;97;AT/2076
81;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;10/11/1994;LAGOON CENTER;162;AT/2084
120;Santa Ponça;Apartaments turístics;CALVIÀ;;29/03/1995;HOLIDAY PARK;240;AT/2087
20;Colònia De Sant Jordi;Apartaments turístics;SES SALINES;;28/04/1995;ANDREA´S;40;AT/2090
143;Santa Ponça;Apartaments turístics;CALVIÀ;;31/07/1995;PIRATES VILLAGE;286;AT/2098
25;Colònia De Sant Jordi;Apartaments turístics;SES SALINES;;01/09/1995;ISLA DE CABRERA I;50;AT/2099
14;Cala D´Or;Apartaments turístics;SANTANYÍ;;03/11/1995;SIRER;42;AT/2100
16;Cala Ferrera;Apartaments turístics;FELANITX;;05/12/1995;SERENA SOL;32;AT/2102
7;Cala Ferrera;Apartaments turístics;FELANITX;;30/11/1995;SES OLIVERES;18;AT/2103
12;Coma (La);Apartaments turístics;SANT LLORENÇ DES CARDASSAR;;18/07/1996;JARCAL;24;AT/2113
15;Peguera;Apartaments turístics;CALVIÀ;;30/10/1996;CARABELA II;40;AT/2115
20;Port D´Alcúdia;Apartaments turístics;ALCÚDIA;;27/12/1996;DIANA II;60;AT/2117
12;Peguera;Apartaments turístics;CALVIÀ;;10/07/1997;NIZA;24;AT/2129
10;Cala Murada;Apartaments turístics;MANACOR;;07/10/1998;CALA MURADA MINIGOLF;20;AT/2130
98;Camp De Mar;Apartaments turístics;ANDRATX;;29/12/1997;LA RESERVA DE BINIORELLA;414;AT/2132
15;Cala D´Or;Apartaments turístics;SANTANYÍ;;17/03/1998;ARENAS D´OR;38;AT/2136
10;Cala Rajada;Apartaments turístics;CAPDEPERA;;15/04/1998;AGULLA PARK;30;AT/2138
57;Cala Ferrera;Apartaments turístics;FELANITX;;25/02/1998;PLAYA FERRERA;209;AT/2139
197;Santa Ponça;Apartaments turístics;CALVIÀ;;30/06/1998;VERDEMAR;437;AT/2141
