Categoria;Unitats;Direcció;Hotel de ciutat;Localitat;UTM (X);Grup;Subgrup;Memoria descriptiva;Municipi;Superfície;Inici d'activitat;Denominació comercial;UTM(Y);Places;Excepcions ratio turístic;Explotador/s;Signatura;Estat;longitude;latitude
;26;CAMPOS-COLONIA S.JORDI,KM 6, S/N. 07630 CAMPOS, Mallorca;;Campos;502158.848178;Agroturisme;Allotjaments;;CAMPOS;;10/09/1998;SON MARGE;4.358084495E9;56;;GLONETOMI, SL (B57425407);AG/71;Alta;3.0196578149579705;-9.30181304020136
;8;VALLDEMOSSA-DEIA,KM.64´5, S/N. 07179 DEIÀ, Mallorca;;Deià;469881.224802;Agroturisme;Allotjaments;;DEIÀ;;20/11/1998;SA PEDRISSA;4399910.24359;16;;SA PEDRISSA CB (E07796436);AG/72;Alta;2.6484410603573094;39.74856643676961
;9;Carretera CAP BLANC, KM 8,5 - CAMÍ DE SA TORRE 35, PARC.27, S/N. 07620 LLUCMAJOR, Mallorca;;Llucmajor;478630.004484;Agroturisme;Allotjaments;;LLUCMAJOR;;14/12/1998;ELS MARSALS;4365622.41591;18;;ELS MARSALS, CB (E57764797);AG/74;Alta;2.7516649662959605;39.43988548362033
;24;Carretera SON SERVERA-CAPDEPERA,KM.3, S/N. 07550 SON SERVERA, Mallorca;;Son Servera;532340.37;Agroturisme;Allotjaments;;SON SERVERA;33290;03/02/1999;PULA GOLF RESORT;4388478.4;48;;INVERSIONES MEDITERRANEAS DE LLEVANT SL (B07527393);AG/75;Alta;3.376929117182416;39.645483189393
;6;Camí SON BORONAT, 33. 07184 CALVIÀ, Mallorca;;Calvià;457739.242598;Agroturisme;Allotjaments;;CALVIÀ;;25/02/1999;SON BORONAT;4378054.93211;12;;AGROTURISMO SON BORONAT, SL (B72740814);AG/76;Alta;2.508116433227934;39.55113401914699
;6;PALMA-VALLDEMOSSA,KM.14´3, S/N. 07170 VALLDEMOSSA, Mallorca;;Valldemossa;468842.204138;Agroturisme;Allotjaments;;VALLDEMOSSA;;19/04/1999;SON BRONDO;4393370.59177;15;;MARIA DEL CARMEN GILI SUAREZ;AG/78;Alta;2.636622763257601;39.689606425798665
;6;SA TORRE - ALQUERIAS, S/N. 07142 Alqueries, SANTA EUGÈNIA, Mallorca;;Alqueries;486964.53;Agroturisme;Allotjaments;;SANTA EUGÈNIA;;23/04/1993;SA TORRE;4387150.2;12;;POSSESSIO SA TORRE DE SANTA EUGENIA SL (B07778582);AG/8;Alta;2.8480956383432994;39.63402787103081
;17;Carretera CAMPOS-PORRERES,KM.5,9- POLIG. VIII, S/N. 07630 CAMPOS, Mallorca;;Campos;501259.425293;Agroturisme;Allotjaments;;CAMPOS;269350;28/04/1999;SON BERNADINET;4361925.82537;34;;SON BERNARDINET SL (B07834625);AG/80;Alta;3.0146285455342032;39.40684079208658
;13;DE SES FONTANELLES, 34. 07100 SÓLLER, Mallorca;;Sóller;476179.81;Agroturisme;Allotjaments;;SÓLLER;;14/05/1999;CA´S SANT;4402322.79;26;;FINCA CAS SANT SL (B57095341);AG/81;Alta;2.721872431877846;39.770503027772605
;11;Polígon 3, PARCEL·LES 519-520-521-522. 07518 LLORET DE VISTALEGRE, Mallorca;;Lloret De Vistalegre;497545.35;Agroturisme;Allotjaments;;LLORET DE VISTALEGRE;;27/05/1999;SON BAULO;4384622.06;22;;WILHEIN KAUFFMANN (X0643603V);AG/82;Alta;2.9714049125032864;39.61134414131163
;15;Polígon 40, PARCEL·LA 1, ES PUIG DE ROS DE D´ALT. 07620 LLUCMAJOR, Mallorca;;Llucmajor;482645.63;Agroturisme;Allotjaments;;LLUCMAJOR;;17/06/1999;PUIG DE ROS D´ALT;4366738.19;30;;AGROTURISMO PUIGDEROSDALT, SL (B75644005);AG/83;Alta;2.798300180081876;39.45002955755433
;8;MARRATXINET. POLIGON.3 - PARCEL·LA 308, S/N. 07320 SANTA MARIA DEL CAMÍ, Mallorca;;Santa Maria Del Camí;480456.262624;Agroturisme;Allotjaments;;SANTA MARIA DEL CAMÍ;;23/09/1999;ES MOLI DE SON MAIOL;4390503.02734;16;;JULIAN PANADES PIZA;AG/84;Alta;2.772155114912518;39.664113848059394
;8;Polígon 28 PARCEL·LES 35 I 36. 07500 MANACOR, Mallorca;;Manacor;515121.42;Agroturisme;Allotjaments;;MANACOR;;26/01/2000;ES MAYOLET;4383976.29;21;;ANATOR GESTIO, SL (B16606378);AG/85;Alta;3.1761396541334213;39.60539549384212
;9;Carretera MANACOR-PORTOCRISTO- MARINETA VELLA, S/N. 07500 MANACOR, Mallorca;;Manacor;520228.107134;Agroturisme;Allotjaments;;MANACOR;;26/01/2000;SA VAQUERIA;4378375.28807;24;;ECOHAPPYFINCAS,SL (B16599383);AG/86;Alta;3.2354529145639446;39.554822930954884
;11;LLUCMAJOR S´ESTANYOL KM 11 POLÍGON 23 PARCEL·LA 280, S/N. 07620 LLUCMAJOR, Mallorca;;Llucmajor;493083.09;Agroturisme;Allotjaments;;LLUCMAJOR;;20/03/2000;LLOVETS DE SON PERDIU;4361212.92;22;;LLOVETS DE SON PERDIU SL (B07815947);AG/87;Alta;2.9196657343880865;39.40039017905518
;8;Carretera BUNYOLA-ORIENT  KM. 4,6, S/N. 07110 BUNYOLA, Mallorca;;Bunyola;476049.76;Agroturisme;Allotjaments;;BUNYOLA;;23/03/2000;HONOR;4397268.64;16;;RAMON-LLULL TRUYOLS BAIGET;AG/88;Alta;2.7205380135257036;39.724961040219064
;7;DE CA´S VIDALS, 42. -, -;;Andratx;450291.766753;Agroturisme;Allotjaments;;ANDRATX;;14/04/2000;AGROTURISME SON ESTEVE;4380029.2369;14;;SON ESTEVE, S.L. (B57872574);AG/89;Alta;2.421289410962791;39.56852340483554
;3;ORIENT, S/N. 07349 Orient, BUNYOLA, Mallorca;;Orient;479444.870101;Agroturisme;Allotjaments;;BUNYOLA;;28/04/1993;ES PUJOL;4398294.18796;6;;MARIA ISABEL PIZA FERRER;AG/9;Alta;2.7601212832067175;39.734289975797005
;6;POL.LIGON 7-PARC.127-138-SON BONAVISTA, S/N. 07110 BUNYOLA, Mallorca;;Bunyola;474414.93;Agroturisme;Allotjaments;;BUNYOLA;;28/06/2000;SON BONAVISTA;4394678.82;12;;AGROFOREST SL (B07508393);AG/90;Alta;2.701562901680542;39.70157894818124
;3;S´ESTANYOL-LLUCMAJOR,KM.7´4, S/N. 07620 LLUCMAJOR, Mallorca;;Llucmajor;491031.574035;Agroturisme;Allotjaments;;LLUCMAJOR;;31/05/2000;SON CORTERA VELL;4370763.25437;13;;ANTONIO VERGER TOMAS;AG/91;Alta;2.895710816656947;39.48642605043586
;14;PALMA-PUIGPUNYENT KM 12,3 POLÍGON 3, PARCEL.LES 120, 121, S/N. 07194 PUIGPUNYENT, Mallorca;;Puigpunyent;459574.737421;Agroturisme;Allotjaments;;PUIGPUNYENT;;05/07/2000;SON PONT;4386454.2201;28;;SON PONT AGROTURISMO, SL (B07973167);AG/92;Alta;2.528967349093333;39.626901210316205
;7;MANACOR-COLONIA DE SANT PERE, KM 10.2 (2,PARC.8,181,182,184), km 10.2. -, -;;Manacor;;Agroturisme;Allotjaments;;MANACOR;21000;13/11/2000;SON CIFRE NOU;;18;;MARIA SITGES SERRA;AG/93;Alta;;
;12;Carretera PALMA-POLLENÇA. KM 47,2, CAMÍ ESQUERRA (POL 5, PARC 6), S/N. 07460 POLLENÇA, Mallorca;;Pollença;505736.476075;Agroturisme;Allotjaments;;POLLENÇA;;05/12/2000;CAN GUILLO;4416883.22599;24;;CAN GUILLO, SL (B57259434);AG/94;Alta;3.067107732932377;39.90200722221585
;7;DE SA MOLA KM 3.6, POLÍGON 22, PARCEL·LES 143, 134, 201, 204, 208 I 210, 143. 07509 Son Macià, MANACOR, Mallorca;;Son Macià;518687.756885;Agroturisme;Allotjaments;;MANACOR;;05/12/2000;ES PICOT;4373801.63323;14;;ANDRES ROIG SASTRE;AG/95;Alta;3.2173949583330193;39.513647121274325
;5;NA FERRERA. PARCEL.LA 164,8 APDO  99, 164,8. -, -;;Capdepera;;Agroturisme;Allotjaments;;CAPDEPERA;73004;05/12/2000;S´HORTA;;14;;MARTHA MARCH BALAGUER;AG/96;Alta;;
;9;MANACOR-COLONIA SANT PERE KM.8.200.POLIGON 3, PARCEL.LA, 117. 07500 MANACOR, Mallorca;;Manacor;517716.522807;Agroturisme;Allotjaments;;MANACOR;;12/01/2001;ES RAFAL ROIG;4388178.59182;24;;TONI GELABERT CALDENTEY Y EULALIA GELABERT CB (E07935638);AG/97;Alta;3.20648066126656;39.64320985991803
;12;DE SA CARROTJA 7, POL 4, PARC 4,15,25,252,249 I 239, S/N. 07640 Salines (Les), SES SALINES, Mallorca;;Salines (Les);503891.94;Agroturisme;Allotjaments;;SES SALINES;;22/03/2001;SA CARROTJA;4354944.58;24;;SA CARROTJA DE SES SALINES SL (B07900004);AG/98;Alta;3.0451653169977058;39.34392651737103
;10;SON FLO,PARC.149-150, S/N. 07450 SANTA MARGALIDA, Mallorca;;Santa Margalida;513259.087971;Agroturisme;Allotjaments;;SANTA MARGALIDA;;30/04/2001;SON FLO;4396805.83895;32;;SON FLO SL (B07825920);AG/99;Alta;3.1547041808455867;39.72102437160701
4 claus;109;Carrer CENTRE, 4. 07183 Costa De La Calma, CALVIÀ, Mallorca;;Costa De La Calma;454858.326898;Apartaments turístics;Allotjaments;;CALVIÀ;0;07/07/1978;Apartamentos Globales Costa de la Calma;4375067.72111;450;;AMLA EXPLOTACIONES TURISTICAS, SA (A83791558);AT/1016;Alta;2.474788898866369;39.52407207940501
2 claus;54;GALIO, 9. 07182 Magaluf, CALVIÀ, Mallorca;;Magaluf;459846.506616;Apartaments turístics;Allotjaments;;CALVIÀ;;26/04/1979;MAGALLUF PLAYA III;4373472.44624;189;;APARTAMENTOS MAGALLUF PLAYA SLU (B07046444);AT/1046;Alta;2.5329193699624604;39.50994596009981
3 claus;78;URB.TORRENOVA, 37. 07182 Magaluf, CALVIÀ, Mallorca;;Magaluf;460756.875186;Apartaments turístics;Allotjaments;;CALVIÀ;0;27/04/1979;SANDALO BEACH;4373518.99741;193;Regularització de places que finalment s´ha d´autoritzar;BROHER SLU (B07021496);AT/1047;Alta;2.5435060579039317;39.51040746063421
2 claus;150;PARC DE LA MAR, S/N. 07660 Cala D´Or, SANTANYÍ, Mallorca;;Cala D´Or;519812.155731;Apartaments turístics;Allotjaments;;SANTANYÍ;;29/06/1979;PARQUE MAR;4357024.3776;544;;SOCIEDAD DE EXPLOTACION APTOS PARQUE MAR (A07127434);AT/1048;Alta;3.229977371452841;39.36244870707152
3 claus;30;URBANITZACIÓ LAS GAVIOTAS, 2. 07440 Platja De Muro, MURO, Mallorca;;Platja De Muro;510932.36539;Apartaments turístics;Allotjaments;;MURO;;16/05/1980;AluaSun Continental Park Apartamentos;4404248.85999;84;;TURISBAR BALEAR SL (B07882780);AT/1114;Alta;3.127680313094171;39.78812020389477
2 claus;4;Carrer TOMARINAR, 15. 07659 Cala Figuera, SANTANYÍ, Mallorca;;Cala Figuera;514716.521953;Apartaments turístics;Allotjaments;;SANTANYÍ;;10/10/1980;SALAS I;4353166.4291;24;;LOSAN GESTIÓN TURÍSTICA, S.L. (B10788396);AT/1115;Alta;3.170743483200681;39.32778743039851
2 claus;64;Carrer DUC D´EXTREMERA-SON MATIAS, 7. 07181 Palmanova, CALVIÀ, Mallorca;;Palmanova;460072.676441;Apartaments turístics;Allotjaments;Deixen de ser turístiques les habitacions 107, 108, 109, 110, 111, 112 i 115. I són turístiques: 402, 501, 904, 307, 606, 607 i 704.;CALVIÀ;;14/10/1980;LAS PALOMAS APARTAMENTOS ECONOTELS;4374381.67569;135;;APAJOMAR SL (B07809486);AT/1117;Alta;2.5354956253042378;39.518148896074564
1 clau;8;Carrer ROURE, 6. 07470 Port De Pollença, POLLENÇA, Mallorca;;Port De Pollença;506618.206192;Apartaments turístics;Allotjaments;;POLLENÇA;;16/09/1981;Cabot Sivella;4415916.26664;24;;ALFA POLLENÇA, SL (B57265423);AT/1138;Alta;3.0774127747812927;39.89328853514951
2 claus;8;VIA MENORCA, 2. 07590 Cala Rajada, CAPDEPERA, Mallorca;;Cala Rajada;539416.41952;Apartaments turístics;Allotjaments;;CAPDEPERA;;21/09/1981;PONENT;4395829.55427;40;;EXPLOTACIONS TURÍSTIQUES BINTUR, S.L. (B72814585);AT/1144;Alta;3.459837694366632;39.71142029804171
3 claus;48;Carrer SA COSTA DELS ETICS, S/N. 07659 Cala Santanyí, SANTANYÍ, Mallorca;;Cala Santanyí;512616.098495;Apartaments turístics;Allotjaments;;SANTANYÍ;;16/11/1981;CALA SANTANYI;4353499.64242;136;;APARTAMENTOS CALA SANTANYI SA (A07070956);AT/1146;Alta;3.1463803687364913;39.33082314885801
3 claus;9;URBANITZACIO GOMMAR, S/N. 07470 Port De Pollença, POLLENÇA, Mallorca;;Port De Pollença;505982.137815;Apartaments turístics;Allotjaments;;POLLENÇA;;21/04/1982;DON MIGUEL;4416405.86006;27;;MIGUEL SERGIO SABATER GAMBIER;AT/1157;Alta;3.0699772113415227;39.897704479340646
3 claus;9;Carrer CORB MARÍ - URBANITZACIÓ GOMMAR, 6. 07470 Port De Pollença, POLLENÇA, Mallorca;;Port De Pollença;506503.58588;Apartaments turístics;Allotjaments;;POLLENÇA;;22/04/1982;Panorama;4416392.12471;27;;MIGUEL SERGIO SABATER GAMBIER;AT/1158;Alta;3.0760768089910875;39.89757688352639
2 claus;9;Avinguda MAGALLUF, 2. 07182 Magaluf, CALVIÀ, Mallorca;;Magaluf;459798.110042;Apartaments turístics;Allotjaments;;CALVIÀ;;15/06/1982;Nura Houses Magaluf;4372948.70285;64;;NURA APARTMENTS SL (B09887902);AT/1162;Alta;2.5323880522630122;39.505224628324136
1 clau;11;MAR DE JAVA, 10. 07610 PALMA, Mallorca;;Platja De Palma;477942.220911;Apartaments turístics;Allotjaments;;PALMA;;16/06/1982;MAR DEL PLATA;4374605.60037;33;;BUT SA (A07025307);AT/1165;Alta;2.743375208407232;39.52081132147821
2 claus;9;GOMMAR, S/N. 07470 Port De Pollença, POLLENÇA, Mallorca;;Port De Pollença;507517.963601;Apartaments turístics;Allotjaments;;POLLENÇA;;08/07/1982;LEO;4417702.94131;45;;XIRIBAUBIUBAU, SL (B16588550);AT/1166;Alta;3.0879577540581464;39.909378875246
3 claus;57;Carrer DELS PINS, 5. 07610 Can Pastilla, PALMA, Mallorca;;Can Pastilla;475448.978376;Apartaments turístics;Allotjaments;;PALMA;0;10/09/1982;ISLA DEL SOL;4376473.88346;122;;APARTAMENTOS ISLA DEL SOL SA (A07024359);AT/1171;Alta;2.7142996436346616;39.537577693960934
3 claus;30;Passeig DEL MAR, 2. 07181 Palmanova, CALVIÀ, Mallorca;;Palmanova;;Apartaments turístics;Allotjaments;;CALVIÀ;;28/08/1982;ROC PORTONOVA;;147;;Promotions Developments Illetas (A07793466);AT/1180;Alta;;
1 clau;9;DE LA PLATJA, 10. 07181 Palmanova, CALVIÀ, Mallorca;;Palmanova;460396.400326;Apartaments turístics;Allotjaments;;CALVIÀ;;11/01/1983;LAS PALMERAS;4375195.20008;45;;MAGDALENA LLABRÉS RUIZ;AT/1203;Alta;2.539213195560587;39.52549394517899
2 claus;9;ESTANCS, 33-35. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca;;Colònia De Sant Jordi;5.04845407E8;Apartaments turístics;Allotjaments;;SES SALINES;;03/02/1983;ESTANQUES;4354406.65912;44;;Álvaro Alía  Burguera;AT/1207;Alta;;
1 clau;8;JUAN SERVERA CAMPS, 46. 07560 Cala Millor, SON SERVERA, Mallorca;;Cala Millor;532860.164879;Apartaments turístics;Allotjaments;;SON SERVERA;;15/02/1983;SA MARINA;4383980.04673;36;;BON TEMPS SA (A07405624);AT/1209;Alta;3.3827638599735312;39.604932377375754
3 claus;40;TROBADORS, 5. 07600 PALMA, Mallorca;;Platja De Palma;478800.347619;Apartaments turístics;Allotjaments;;PALMA;;26/09/1983;TRES TORRES;4.374210578E9;120;;ORONOL SA (A07067903);AT/1225;Alta;-176.73452742352978;44.23552608456586
1 clau;21;URBANITZACIO EL COTO, S/N. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca;;Colònia De Sant Jordi;499343.297313;Apartaments turístics;Allotjaments;;SES SALINES;;29/09/1983;VILLA MARQUESA;4352202.15568;42;;COMPAÑIA HOTELERA SANT JORDI SA (A07015597);AT/1230;Alta;2.9923817553881955;39.319223476021996
1 clau;5;URBANITZACIO CALA FERRERA,SOLAR 17,POL.1, S/N. 07200 Cala Ferrera, FELANITX, Mallorca;;Cala Ferrera;520979.64343;Apartaments turístics;Allotjaments;;FELANITX;;03/10/1983;BON AIRE I;4358912.46292;18;;BOURBON ALIA SL (B57088239);AT/1234;Alta;3.243588437185033;39.37943410851424
1 clau;9;Carrer SAN JORDI, 4. 07560 Cala Millor, SON SERVERA, Mallorca;;Cala Millor;531847.021354;Apartaments turístics;Allotjaments;;SON SERVERA;;20/10/1983;SABINA I;4387905.95388;29;;HOTEL SABINA SA (A07007826);AT/1239;Baixa temporal;3.371151647024831;39.6403438688459
1 clau;9;Carrer SAN JORDI, 4. 07560 Cala Millor, SON SERVERA, Mallorca;;Cala Millor;531847.021354;Apartaments turístics;Allotjaments;;SON SERVERA;;20/10/1983;SABINA II;4387905.95388;36;;SHERAZI AND SONS,SL (B57944472);AT/1240;Alta;3.371151647024831;39.6403438688459
1 clau;20;L´ESPERANÇA, 10. 07590 Cala Rajada, CAPDEPERA, Mallorca;;Cala Rajada;539630.133683;Apartaments turístics;Allotjaments;;CAPDEPERA;;20/10/1983;PERLA NEGRA;4396650.84512;70;;ALZINA PONS SL (B07612831);AT/1243;Alta;3.4623802446303076;39.718810188984904
1 clau;9;URB.CALA FERRERA,POL.I,SOL.15, S/N. 07669 Cala Ferrera, FELANITX, Mallorca;;Cala Ferrera;520979.64343;Apartaments turístics;Allotjaments;;FELANITX;;20/10/1983;Bon Aire II;4358912.46292;39;;BOURBON ALIA SL (B57088239);AT/1245;Alta;3.243588437185033;39.37943410851424
2 claus;30;DUC D´EXTREMERA, 8. 07181 Palmanova, CALVIÀ, Mallorca;;Palmanova;460188.330362;Apartaments turístics;Allotjaments;;CALVIÀ;;11/01/1984;CALA BLANCA;4374216.29823;84;;MIGUEL BARCELO PUIGSERVER;AT/1258;Alta;2.5368509684666054;39.51666417040613
1 clau;5;SOLAR 89, S/N. 07200 Cala Ferrera, FELANITX, Mallorca;;Cala Ferrera;520348.115624;Apartaments turístics;Allotjaments;;FELANITX;;02/02/1984;EL PINO I;4359000.8961;22;;Cala d´Or Booking, S.L. (B56569643);AT/1260;Alta;3.2362587000533134;39.38024607081473
1 clau;7;Carrer DES FORN, 21. 07669 Cala Ferrera, FELANITX, Mallorca;;Cala Ferrera;;Apartaments turístics;Allotjaments;;FELANITX;;02/02/1984;EL PINO II;;26;;GREEN RESORT & SPA FERRERA BEACH, SL (B07907132);AT/1261;Alta;;
1 clau;20;URBANITZACIÓ TORRE DE CANYAMEL, S/N. 07589 Canyamel, CAPDEPERA, Mallorca;;Canyamel;537177.130067;Apartaments turístics;Allotjaments;;CAPDEPERA;;03/11/1983;SUREDA II;4388341.32375;60;;JUAN SUREDA GIRART;AT/1263;Alta;3.4332927458955615;39.64405151496057
2 claus;36;CARABELA S/N, S/N;;Can Pastilla;;Apartaments turístics;Allotjaments;;PALMA;;25/04/1984;HELIOS;;108;;HOTEL HELIOS CAN PASTILLA SA (A01012764);AT/1266;Alta;;
1 clau;18;PEDRO MAS REUS, 4. 07410 Port D´Alcúdia, ALCÚDIA, Mallorca;;Port D´Alcúdia;509957.408403;Apartaments turístics;Allotjaments;;ALCÚDIA;;15/06/1984;BOCACCIO;4409088.12066;112;;VIÑALS SA (A07085889);AT/1273;Alta;3.1163671972229134;39.8317343011882
3 claus;1474;Avinguda PERE MAS REUS, S/N. 07410 Port D´Alcúdia, ALCÚDIA, Mallorca;;Port D´Alcúdia;;Apartaments turístics;Allotjaments;;ALCÚDIA;;16/07/1984;COMPLEJO BELLEVUE CLUB;;4191;;GANAS DE VIAJAR, SLU (B06783120);AT/1278;Alta;;
1 clau;15;Carrer ATALAIA, 3. 07160 Peguera, CALVIÀ, Mallorca;;Peguera;454578.66376;Apartaments turístics;Allotjaments;;CALVIÀ;;23/07/1984;BON AIRE;4381336.72956;30;;Jaime Más  Pérez;AT/1281;Alta;2.4711064909892055;39.58054182453065
1 clau;6;MARITIM, 4 planta 1 porta A. 07560 Cala Millor, SON SERVERA, Mallorca;;Cala Millor;533163.0473425;Apartaments turístics;Allotjaments;;SON SERVERA;;24/07/1984;VIVES;4383797.399735;36;;JUAN VIVES BRUNET;AT/1286;Alta;3.386282696112257;39.60327501280168
1 clau;8;NA LLAMBIES, 38. 07559 Cala Bona, SON SERVERA, Mallorca;;Cala Bona;533452.013838;Apartaments turístics;Allotjaments;;SON SERVERA;;23/07/1984;SEMA I;4384834.39192;40;;SEMA CALA BONA SL (B57144834);AT/1287;Alta;3.3897008770203674;39.61260728589499
3 claus;50;GALIO, 31. 07458 MURO, Mallorca;;Platja De Muro;509933.9706105;Apartaments turístics;Allotjaments;;MURO;;28/08/1984;LOS PRINCIPES I;4407000.71948;150;;GRUPOTEL DOS SA (A07919087);AT/1294;Alta;3.1160616465096274;39.81292696296667
1 clau;9;RAN DE MAR -BLOC A, 9. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;;Can Picafort;512947.904451;Apartaments turístics;Allotjaments;;SANTA MARGALIDA;;31/08/1984;CHARLY´S BLOQUE A;4402073.8558;36;;MIGUEL FONT JORDA;AT/1299;Alta;3.151177063704952;39.76849487615348
1 clau;8;CALA FERRERA - SOLAR 31, S/N. 07669 Cala Ferrera, FELANITX, Mallorca;;Cala Ferrera;520348.115624;Apartaments turístics;Allotjaments;;FELANITX;;21/09/1984;Gran Sol Family;4359000.8961;48;;Cala d´Or Booking, S.L. (B56569643);AT/1308;Alta;3.2362587000533134;39.38024607081473
2 claus;94;Carrer MINERVA, 24. 07410 Port D´Alcúdia, ALCÚDIA, Mallorca;;Port D´Alcúdia;510494.883812;Apartaments turístics;Allotjaments;;ALCÚDIA;;25/09/1984;LAS PIRAMIDES;4409707.60259;282;;RESORTS MALLORCA HOTELS INTERNATIONAL, SL (B07993991);AT/1309;Alta;3.122658315207254;39.83730938828573
1 clau;4;Carrer MARINA, 262. 07659 Cala Figuera, SANTANYÍ, Mallorca;;Cala Figuera;514812.165051;Apartaments turístics;Allotjaments;;SANTANYÍ;;16/10/1984;CASA MARIA;4353263.22162;12;;GORNALS-VICENS, S.L. (B72998057);AT/1319;Alta;3.1718552800830633;39.32865797623187
3 claus;68;CALA GRAN, 6, S/N. 07660 Cala D´Or, SANTANYÍ, Mallorca;;Cala D´Or;519900.45955;Apartaments turístics;Allotjaments;;SANTANYÍ;;17/11/1984;CALA GRAN I;4358434.76775;176;;APARTAMENTOS CALA GRAN, SL (B57117673);AT/1330;Alta;3.2310442609313936;39.37515529618986
2 claus;5;SA COSTA DE DRAC, 15. 07659 SANTANYÍ, Mallorca;;Cala Santanyí;512643.671446;Apartaments turístics;Allotjaments;;SANTANYÍ;;03/12/1984;DRAC;4353500.02764;24;;DOFI COPINYA, SL (B57391567);AT/1331;Alta;3.146700294731968;39.33082621725635
2 claus;40;Carrer L´ESPIGA, 9. 07160 Peguera, CALVIÀ, Mallorca;;Peguera;452431.946553;Apartaments turístics;Allotjaments;;CALVIÀ;;04/12/1984;ALDEA CALA FORNELLS II;4376407.38256;120;;;AT/1335;Alta;2.4464639853493497;39.536011613577024
1 clau;9;ROGER DE FLOR, 50. 07470 POLLENÇA, Mallorca;;Port De Pollença;507070.224687;Apartaments turístics;Allotjaments;;POLLENÇA;;05/12/1984;BRESSOL;4.417774494E9;45;;NUEVOS APARTAMENTOS BRESSOL, CB (E57792186);AT/1341;Alta;-177.0649472192303;11.995083203470402
3 claus;5;Carrer ALMIRALL CERVERA, 13. 07470 Port De Pollença, POLLENÇA, Mallorca;;Port De Pollença;507093.432002;Apartaments turístics;Allotjaments;;POLLENÇA;;07/12/1984;MIRAMAR;4417581.06775;20;;SASTRE CIFRE SL (B07111917);AT/1342;Alta;3.0829895510342578;39.908284463258745
1 clau;8;OCCITANIA, 11. 07688 Cala Murada, MANACOR, Mallorca;;Cala Murada;523293.728792;Apartaments turístics;Allotjaments;;MANACOR;;13/12/1984;LOS PINOS;4366863.66755;36;;ANTONIO VALLBONA RIGO;AT/1343;Alta;3.2707333053274295;39.45101998650143
1 clau;12;REIS CATOLICS, 28. 07590 Cala Rajada, CAPDEPERA, Mallorca;;Cala Rajada;539416.41952;Apartaments turístics;Allotjaments;;CAPDEPERA;;17/01/1985;GIRASOL LLITERAS;4395829.55427;36;;ESTEVA LLITERAS S.L. (B16500480);AT/1346;Alta;3.459837694366632;39.71142029804171
2 claus;9;Carrer DES FALCÓ, 21. 07470 Port De Pollença, POLLENÇA, Mallorca;;Port De Pollença;506266.24509999994;Apartaments turístics;Allotjaments;;POLLENÇA;;05/03/1985;APARTAMENTOS FALCÓ;4416586.5209;54;;JEANETTE Y SYLVIO, E.S.P.J. (E10868412);AT/1356;Alta;3.0733023428580144;39.89933017222917
2 claus;166;Avinguda PERE MAS REUS, 23. 07400 Port D´Alcúdia, ALCÚDIA, Mallorca;;Port D´Alcúdia;509325.998338;Apartaments turístics;Allotjaments;;ALCÚDIA;;05/10/1985;SIESTA I;4408898.7792;436;;PUERTO BELLO SL (B07101074);AT/1357;Alta;3.1089855441052863;39.830035491474796
2 claus;26;Avinguda Minerva, 13. 07410 Port D´Alcúdia, ALCÚDIA, Mallorca;;Port D´Alcúdia;;Apartaments turístics;Allotjaments;;ALCÚDIA;;20/03/1985;VICTORIA;;84;;RESORTS MALLORCA HOTELS INTERNATIONAL, SL (B07993991);AT/1360;Alta;;
2 claus;74;Avinguda REI JAUME I, 83. 07180 Santa Ponça, CALVIÀ, Mallorca;;Santa Ponça;;Apartaments turístics;Allotjaments;;CALVIÀ;;22/03/1985;APARTAMENTOS MAC SURFING PLAYA;;222;;Acerca Gestion 400, S.L. (B56794324);AT/1362;Alta;;
4 claus;93;Carrer PARIS CANTONADA C. PINZONES, S/N. 07181 Palmanova, CALVIÀ, Mallorca;;Palmanova;460297.624813;Apartaments turístics;Allotjaments;;CALVIÀ;;24/04/1985;APARTAMENTOS PALMANOVA BEACH BY TRH;4374818.26252;210;;HOTEL SEM PALMANOVA, S.L. (B88607098);AT/1364;Alta;2.5380864809707315;39.52209308220374
1 clau;3;Carrer GREGAL, 3. 07687 Illot (L´), SANT LLORENÇ DES CARDASSAR, Mallorca;;Illot (L´);524762.183362;Apartaments turístics;Allotjaments;;SANT LLORENÇ DES CARDASSAR;;24/04/1985;DORADO II;4385136.27426;15;;BEDS & ROOMS PLAYAMAR S.L. (B57851909);AT/1365;Baixa temporal;3.2884809771700825;39.61562278365187
1 clau;33;GENERAL GARCIA RUIZ - PUNTA BALLENA, S/N. 07182 Magaluf, CALVIÀ, Mallorca;;Magaluf;460203.04742;Apartaments turístics;Allotjaments;;CALVIÀ;;13/06/1985;COCONUT;4373487.55781;66;;COCONUT APARTAMENTOS SL (B07704323);AT/1389;Alta;2.537065756357962;39.51009870749544
1 clau;11;RAN DE MAR, 7. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;;Can Picafort;512947.904451;Apartaments turístics;Allotjaments;;SANTA MARGALIDA;;18/06/1985;CHARLY´S BLOQUE B;4402073.8558;28;;MIGUEL FONT JORDA;AT/1390;Alta;3.151177063704952;39.76849487615348
