Categoria;Unitats;Direcció;Hotel de ciutat;Localitat;UTM (X);Grup;Subgrup;Memoria descriptiva;Municipi;Superfície;Inici d'activitat;Denominació comercial;UTM(Y);Places;Excepcions ratio turístic;Explotador/s;Signatura;Estat;longitude;latitude
;4;Polígon 15, PARCEL.LA 179. 07570 ARTÀ, Mallorca;;Artà;532939.55;Agroturisme;Allotjaments;;ARTÀ;;17/06/2002;CASES DE SON DUC;4391884.62;8;;PAPA PIZZA JANIN, CB (E57256513);AG/113;Alta;3.3840823053256557;39.67615079837701
;8;Carretera LLORET, KM 1´5, POLIG.9, PARCEL.LA 282, S/N. 07230 MONTUÏRI, Mallorca;;Montuïri;498548.53;Agroturisme;Allotjaments;;MONTUÏRI;21000;04/07/2002;ES RAFAL;4381887.12;18;;ANTONIO RIBAS MOLL;AG/114;Alta;2.983097302136481;39.58670345248345
;12;19-PARCEL.LA, 971. 07620 LLUCMAJOR, Mallorca;;Llucmajor;494796.02;Agroturisme;Allotjaments;;LLUCMAJOR;;04/07/2002;SON ESTRANY;4368590.14;24;;JOSE LUIS SANCHEZ TELLEZ;AG/115;Alta;2.9395025425924017;39.46687597955586
;10;VALLDEMOSSA A ANDRATX, KM 2,5, S/N. 07170 VALLDEMOSSA, Mallorca;;Valldemossa;465967.914209;Agroturisme;Allotjaments;;VALLDEMOSSA;;30/07/2002;SES CASES DE CAS GARRIGUER;4395524.19381;20;;VISTAMAR DE VALLDEMOSSA SL (B07537392);AG/116;Alta;2.6029909680381;39.708900766616644
;7;SINEU-MURO, KM 3,2. POLIGON 7, PARCELAS 265, 266, 267, 268, S/N. 07510 SINEU, Mallorca;;Sineu;501820.03446;Agroturisme;Allotjaments;;SINEU;;01/07/2002;SA CASA ROTJA;4388507.22653;24;;PARADIS DES PLA SL (B57908428);AG/117;Alta;3.021212914433994;39.646352554053884
;6;SON FERRAGUT, S/N. 07100 SÓLLER, Mallorca;;Sóller;474848.879044;Agroturisme;Allotjaments;;SÓLLER;;03/09/2002;CAN POMA;4402819.2752;12;;CAN POMA SOLLER SL (B07844384);AG/118;Alta;2.706313490267097;39.77493809961247
;12;Carretera SANTA MARGALIDA-ALCUDIA, KM 6. POL. 15. PARCEL.LA 3, S/N. 07450 SANTA MARGALIDA, Mallorca;;Santa Margalida;513259.087971;Agroturisme;Allotjaments;;SANTA MARGALIDA;;13/11/2002;SANTA EULALIA;4396805.83895;24;;PROFITUR INVERSION SL (B07774003);AG/119;Alta;3.1547041808455867;39.72102437160701
;10;SOLLER-LLUC, S/N. 07109 FORNALUTX, Mallorca;;Fornalutx;478700.805311;Agroturisme;Allotjaments;;FORNALUTX;;27/05/1993;BALITX D´AVALL CAN GORDO;4405176.22482;19;;MIGUEL OLIVER Y PASTOR SL (B07709132);AG/12;Alta;2.751215047195721;39.79627943684733
;7;DE SON AMARET, 128. 07200 FELANITX, Mallorca;;Felanitx;512798.006841;Agroturisme;Allotjaments;;FELANITX;;25/11/2002;CAN BOTA;4368947.82471;14;;SIGRID SULZER;AG/120;Alta;3.148786423312522;39.470019500311444
;9;7 - PARCELA 780, S/N. 07650 SANTANYÍ, Mallorca;;Santanyí;513974.01;Agroturisme;Allotjaments;;SANTANYÍ;;25/02/2003;SON MARIMON;4357646.43;18;;ANTONIA FORTEZA GARI;AG/121;Alta;3.1622220785229866;39.36816805644133
;12;Carretera VELLA DE VALLDEMOSSA. 32-33 I PART DE LA 31, S/N. 07170 VALLDEMOSSA, Mallorca;;Valldemossa;467424.217887;Agroturisme;Allotjaments;;VALLDEMOSSA;;24/04/2003;VALLDEMOSSA;4394961.29144;24;;HOTEL VALLDEMOSSA, SLU (B56247729);AG/122;Alta;2.620007272904996;39.70388582692958
;6;PARCEL·LA 124, POLIGON 3, S/N. 07194 PUIGPUNYENT, Mallorca;;Puigpunyent;462483.63;Agroturisme;Allotjaments;;PUIGPUNYENT;;05/05/2003;SON BURGUET;4385138.06;12;;CAN LLOETA, SL (B57597767);AG/123;Alta;2.5629352240522714;39.615174918508735
;9;Carretera PETRA-FELANITX (PM 511, ENCREUAMENT SES BASSES) KM 3,8. POLIGONS 3 I 4, PARCEL.LES 1367,340 I 342, S/N. 07250 VILAFRANCA DE BONANY, Mallorca;;Vilafranca De Bonany;512021.081924;Agroturisme;Allotjaments;;VILAFRANCA DE BONANY;;06/05/2003;SA FRANQUESA VELLA;4377118.34612;20;;HOMERTI, SLU (B57725764);AG/124;Alta;3.139901666421035;39.543651547212576
5 estrelles;10;Polígon 13 PARCEL·LA 70. 07313 Caimari, SELVA, Mallorca;;Caimari;491826.536964;Agroturisme;Allotjaments;;SELVA;;09/05/2003;CAN BENEÏT;4402503.82995;20;;FINCA MIRABONA, SL (B02980563);AG/125;Alta;2.9045628867340993;39.77242822832715
;7;POLÍG. 4, PARC. 255, 222, S/N. 07320 SANTA MARIA DEL CAMÍ, Mallorca;;Santa Maria Del Camí;480456.262624;Agroturisme;Allotjaments;;SANTA MARIA DEL CAMÍ;;15/05/2003;ES TORRENT FALS;4390503.02734;14;;TORRENT FALS SL UNIPERSONAL (B57064297);AG/126;Alta;2.772155114912518;39.664113848059394
;12;PALMA-SOLLER, KM.13,60, S/N. 07110 BUNYOLA, Mallorca;;Bunyola;472404.63;Agroturisme;Allotjaments;;BUNYOLA;;21/05/2003;S´ALQUERIA BLANCA;4393616.43;24;;SA GUBIA BLANCA SL (B57027062);AG/127;Alta;2.6781585498474243;39.691944037819916
;35;Polígon 16, PARCEL.LA 340. 07620 LLUCMAJOR, Mallorca;;Llucmajor;493098.5;Agroturisme;Allotjaments;;LLUCMAJOR;;10/06/2003;SON SAMPOLI;4372548.03;84;;MHR HOTELS, SL (B06845960);AG/128;Alta;2.919727510267872;39.502526988611116
;11;Carretera CAMPOS - COLONIA DE SANT JORDI, KM., 11. 07630 CAMPOS, Mallorca;;Campos;501259.425293;Agroturisme;Allotjaments;;CAMPOS;649428;14/07/2003;SES ARENES;4361925.82537;27;;AGRICOLA COLL DE DAMA CB (E57967242);AG/129;Alta;3.0146285455342032;39.40684079208658
;12;POLÍGON 16, PARCEL.LA 199, S/N. 07630 CAMPOS, Mallorca;;Campos;501541.72;Agroturisme;Allotjaments;;CAMPOS;;14/07/2003;SES ROTES VELLES;4355220.38;24;;ALFURINET, SL (B57888166);AG/130;Alta;3.0178920402704996;39.34641908987649
;7;VILLALONGA, 23. 07100 SÓLLER, Mallorca;;Sóller;475501.21;Agroturisme;Allotjaments;;SÓLLER;;12/09/2003;CA´S CURIAL;4402477.16;14;;ANTONIA MARIA GARAU DARDER;AG/131;Alta;2.713943346800252;39.771874651467606
;7;SISENA VOLTA- FINCA  CAN BESSOL, 287. -, -;;Horta (L´);518096.957457;Agroturisme;Allotjaments;;FELANITX;21000;04/11/2003;CAN BESSOL;4362029.39972;18;;FINCA CAN BESSOL, SL (B57314056);AG/132;Alta;3.210202912287937;39.40758509753114
;11;BUGER-SA POBLA KM 1,2  (4, PARCELA 77), S/N. 07311 BÚGER, Mallorca;;Búger;499793.28;Agroturisme;Allotjaments;;BÚGER;;10/02/2004;SON PONS;4401246.73;22;;AGROTURISME SON PONS SL (B57113888);AG/133;Alta;2.9975866361261847;39.76114076159757
;5;CAPDELLA - PAGUERA KM. 10, S/N. 07184 CALVIÀ, Mallorca;;Calvià;454037.520624;Agroturisme;Allotjaments;;CALVIÀ;;22/03/2004;SON TRIAS;4380686.75007;10;;FINCA SON TRIAS SL (B07778228);AG/134;Alta;2.4648506257906044;39.57465661712949
;7;SON MESQUIDA.KM 4.5POLIGONO 7, PARCELA 522, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;;Sant Llorenç Del Cardassar;504793.630337;Agroturisme;Allotjaments;;SANT LLORENÇ DES CARDASSAR;;16/06/2004;SES BITL·LES;4372609.56521;14;;ANDRES ALCOVER ANDRE;AG/135;Alta;3.0557559648457224;39.50309579796898
;22;POLIGON 13, PARCEL·LA 164 Y POLIGON 15 PARCEL·LA 25, S/N. 07314 SELVA, Mallorca;;Selva;493131.1;Agroturisme;Allotjaments;;SELVA;0;23/09/2004;BINIBONA PARC NATURAL;4404050.2;49;;FINCA BINIBONA PARC NATURAL (B07980295);AG/136;Alta;2.919779373914815;39.78637276156256
;6;Polígon 303, 23 - PARCEL.LA. 07509 Son Macià, MANACOR, Mallorca;;Son Macià;520228.107134;Agroturisme;Allotjaments;;MANACOR;;28/10/2004;SA VALL DE SON MACIA;4378375.28807;14;;TERESA DURAN FONS;AG/137;Alta;3.2354529145639446;39.554822930954884
